id,pdga_number,first_name,last_name,city,state,country,nationality,member_since
797,67149,Kyle,Griffin,Wellington,CO,US,NULL,2014
798,67172,Trevon,Crowe,Peru,IN,US,US,2014
799,67245,Andrew,Rosta,New Braunfels,TX,US,US,2014
800,67313,Jeff,Renner,Point Lookout,MO,US,NULL,2014
801,67314,Casey,Hanemayer,Cranbrook,BC,CA,CA,2014
802,67535,Niko,Leskinen,Nummela,,FI,NULL,2014
803,67783,Matt,Jackson,Grand Rapids,MI,US,NULL,2014
804,67907,Mads,Schmidt,Nivå,,DK,DK,2014
805,68031,Chris,B. Graham,Sonora,CA,US,NULL,2014
806,68043,Sean,Swihart,Lincoln,NE,US,NULL,2014
807,68103,Jared,Stoll,North Adams,MI,US,NULL,2014
808,68106,Casey,Gonta,Corning,NY,US,US,2014
809,68579,Paul,Russell,Brookfield,IL,US,NULL,2014
810,68695,Loren,Lewis,Tulsa,OK,US,US,2014
811,68696,Jeremy,Novak,Payson,AZ,US,NULL,2014
812,68737,Bartosz,Kowalewski,Dayton,OH,US,US,2014
813,68815,Jamie,Kiep,Leesburg,GA,US,NULL,2014
814,68879,Ulysses,Muniz,Lufkin,TX,US,NULL,2014
815,68908,Jaimen,Hume,Glens Falls,NY,US,NULL,2014
816,68979,Blake,Thomas,Mt Sterling,KY,US,NULL,2014
817,69045,Mark,Anderson,Salt Lake City,UT,US,US,2014
818,69229,Clayton,Lawson,Guthrie,OK,US,NULL,2014
819,69334,Jeremy,Watson,Mckinleyville,CA,US,NULL,2014
820,69641,Michael,Gibney,Fairhope,AL,US,NULL,2014
821,69961,Quintin,Becker,Waverly,IA,US,NULL,2014
822,69968,Samuel,Streeter,Charlton,MA,US,NULL,2014
823,70194,Domenic,Griffin,Olympia,WA,US,NULL,2014
824,70327,Leif,Force,Asheville,NC,US,NULL,2015
827,70585,Jesse,Peterson,Neenah,WI,US,NULL,2015
828,70601,Tyler,Swanson,Justin,TX,US,NULL,2015
829,70605,Matt,Clark,Brighton,MI,US,NULL,2015
830,70741,Mark,Chapalonis,Athol,MA,US,NULL,2015
831,70941,Eetu,Jansson,Kuopio,,FI,NULL,2015
832,71049,Sean,Howard,Ringoes,NJ,US,NULL,2015
833,71050,Matthew,Barajas,Houston,TX,US,NULL,2015
837,71239,D.J.,Herrington,Salem,OR,US,NULL,2015
838,71308,Anthony,AP Perkins,Conroe,TX,US,NULL,2015
839,71551,Joonas,Aalto,Turku,,FI,NULL,2015
840,71577,J,Jones,Sacramento,CA,US,NULL,2015
841,71688,Collin,Pope,Lisbon Falls,ME,US,NULL,2015
842,71769,Jacob,Dills,Carlton,OR,US,US,2015
843,71845,Tuomas,Autio,Jyväskylä,,FI,NULL,2015
844,71872,Tyler,Schrock,Burien,WA,US,US,2015
845,71886,Jonas,Christensen,Gjerlev J,,DK,DK,2015
846,72022,Martin,Louis Milne,København S,,DK,NULL,2015
847,72036,Devontay,Brown,Perry,OK,US,NULL,2015
848,72383,Sivert,Øveraas,Vestnes,,NO,NULL,2015
